"If set to 'Yes' the BESUGRE Recommendation extension is enabled and generates product recommendations according to the below mentioned configuration options and the recommendation engine configuration in the BESUGRE Recommendation tool (menu <em>Promotions / BESUGRE Recommendation</em>).<br />If set to 'No' the extension is completely disabled.","Wenn diese Option auf 'Ja' gesetzt ist, dann ist die BESUGRE Recommendation Extension aktiviert und generiert Produktempfehlungen wie unten und im BESGURE Recommendation Tool unter dem Menü <em>Preisregeln / BESUGRE Recommendation</em> konfiguriert. Wenn für diese Option 'Nein' gesetzt ist, ist die Extension komplett deaktiviert."
"If enabled product recommendations will be shown on product list (=category) pages. The configuration can be done by the below mentioned options.","Wenn aktiviert, dann werden Produktempfehlungen in Produktlisten (=Kategorien) angezeigt. Die Konfiguration kann mit den unten angegebenen Optionen angepasst werden."
"Optionally specify the title of the recommendation block, e.g. 'Customers who bought this also bought..'. If left empty the block shows no title above the recommended products.","Wählen Sie optional einen Titel für den Empfehlungsblock, z.B. 'Kunden die das gekauft haben, haben auch das gekauft..'."
"Specify the position of the recommendation block depending on the column and vertical alignment. Depending on your current Magento theme not all positions may be available.","Definieren Sie die Position des Empfehlungsblocks in den Produktlisten abhängig von der Spalte und der vertikalen Ausrichtung. Abhängig von Ihrem Magento-Layout sind eventuell nicht alle Positionen verfügbar."
"How many items should be visible to the user in the recommendation block?<br />Please note that this setting should be chosen depending on the <em>position on page</em>. Usually for a position in the main column ca. 5 - 8 visible items are recommended. In contrast in the left or right column displaying only 1 item at a time might be more attractive.","Wie viele Produkte sollen dem Benutzer im Empfehlungsblock angezeigt werden?<br />Bitte beachten Sie, dass diese Option abhängig von der <em>Seitenposition</em> gewählt werden muss. Normalerweise passen in die Hauptspalte Ihres Shops 5 - 8 sichtbare Produkte. Dagegen sollte diese Option für die linke oder rechte Spalte in der Regel den Wert 1 erhalten."
"Specify the maximum number of recommended items that should be shown in total.","Definieren Sie hier die maximale Anzahl an Empfehlungen, die dem Benutzer angezeigt werden sollen."
"If enabled product recommendations will be shown on product detail pages. The configuration can be done by the below mentioned options.","Wenn aktiviert, dann werden Produktempfehlungen auf Produktdetailseiten angezeigt. Die Konfiguration kann mit den unten angegebenen Optionen angepasst werden."
"If enabled product recommendations will be shown on the shopping cart page. The configuration can be done by the below mentioned options.","Wenn aktiviert, dann werden Produktempfehlungen im Warenkorb angezeigt. Die Konfiguration kann mit den unten angegebenen Optionen angepasst werden."
"If enabled product recommendations will be shown on the order success page. The configuration can be done by the below mentioned options.","Wenn aktiviert, dann werden Produktempfehlungen auf der Bestellbestätigungsseite angezeigt. Die Konfiguration kann mit den unten angegebenen Optionen angepasst werden."
"If enabled product recommendations will be shown on the customer account dashboard page. The configuration can be done by the below mentioned options.","Wenn aktiviert, dann werden Produktempfehlungen auf der Übersichtsseite im Bereich 'Mein Konto' angezeigt. Die Konfiguration kann mit den unten angegebenen Optionen angepasst werden."
"Configuration of the BESUGRE Recommendation widgets. If you need any assistance please do not hesitate to <a href=""http://www.besugre.com/en/contacts"" target=""_blank"">contact us</a>.","Konfiguration der BESUGRE Recommendation Widgets. Bei Fragen und Anregungen <a href=""http://www.besugre.com/en/contacts"" target=""_blank"">kontaktieren</a> Sie uns bitte."
"Recommendation layout","Layout der Empfehlung"
